Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G,Rush Yards AC,TFL Rush,Explosive Rush,First Down Rush
Xavier Smith,WR,2,0.89,1.78,30,0,15.0,2.0,,50.0,50.0,LAR,14,0,1,2.1,4.0,0.0,1.0,1.0
Jakobi Meyers,WR,2,0.71,1.42,23,0,11.5,8.0,,50.0,50.0,LVR,14,14,1,1.6,16.0,0.0,1.0,1.0
Malachi Corley,WR,2,-2.22,-4.44,26,0,13.0,1.0,,50.0,50.0,NYJ,9,1,1,2.9,2.0,0.0,1.0,1.0
Kameron Johnson,WR,2,-0.23,-0.46,11,0,5.5,0.5,,,,TAM,5,0,1,2.2,1.0,0.0,0.0,0.0
Darius Slayton,WR,2,0.91,1.82,17,0,8.5,2.5,,50.0,50.0,NYG,15,12,1,1.1,5.0,0.0,1.0,1.0
Dyami Brown,WR,2,0.43,0.86,18,0,9.0,3.5,,50.0,50.0,WAS,15,2,1,1.2,7.0,0.0,1.0,1.0
Terry McLaurin,WR,2,-3.09,-6.18,2,0,1.0,1.0,,,,WAS,16,16,0,0.1,2.0,0.0,0.0,0.0
Cooper Kupp,WR,2,0.11,0.22,10,0,5.0,0.5,,,50.0,LAR,12,11,1,0.8,1.0,0.0,0.0,1.0
Deven Thompkins,WR,2,-0.07,-0.14,7,0,3.5,2.5,50.0,,,CAR,7,0,0,1.0,5.0,1.0,0.0,0.0
Amon-Ra St. Brown,WR,2,-0.32,-0.64,6,0,3.0,1.0,50.0,,50.0,DET,16,16,1,0.4,2.0,1.0,0.0,1.0
George Pickens,WR,2,-0.9,-1.8,-6,0,-3.0,4.0,50.0,,,PIT,13,11,0,-0.5,8.0,1.0,0.0,0.0
Diontae Johnson,WR,2,1.02,2.04,6,0,3.0,0.5,,,50.0,2TM,11,8,1,0.5,1.0,0.0,0.0,1.0
Diontae Johnson,WR,2,1.02,2.04,6,0,3.0,0.5,,,50.0,CAR,7,7,1,0.9,1.0,0.0,0.0,1.0
Diontae Johnson,WR,2,1.02,2.04,6,0,3.0,0.5,,,50.0,BAL,4,1,0,0.0,1.0,0.0,0.0,1.0
Brandin Cooks,WR,2,-0.83,-1.66,2,0,1.0,3.0,50.0,,,DAL,9,8,0,0.2,6.0,1.0,0.0,0.0
Troy Franklin,WR,2,-0.13,-0.26,8,0,4.0,1.0,,,,DEN,15,6,0,0.5,2.0,0.0,0.0,0.0
Kalif Raymond,WR,2,-0.49,-0.98,0,0,0.0,1.5,50.0,50.0,50.0,DET,11,2,1,0.0,3.0,1.0,1.0,1.0
Kadarius Toney,WR,2,-0.8,-1.6,-4,0,-2.0,0.5,50.0,,,CLE,3,0,0,-1.3,1.0,1.0,0.0,0.0
Reggie Gilliam,FB,2,0.0,0.0,3,0,1.5,0.0,,,,BUF,14,0,0,0.2,0.0,0.0,0.0,0.0
C.J. Ham,FB,2,0.73,1.46,10,1,5.0,2.0,,,50.0,MIN,16,3,1,0.6,4.0,0.0,0.0,1.0
Dylan Laube,RB,1,-4.67,-4.67,0,0,0.0,0.0,,,,LVR,9,0,0,0.0,0.0,0.0,0.0,0.0
British Brooks,RB,1,-0.34,-0.34,2,0,2.0,2.0,,,,HOU,5,0,0,0.4,2.0,0.0,0.0,0.0
Chigoziem Okonkwo,TE,1,0.0,0.0,17,0,17.0,0.0,,,,TEN,16,10,1,1.1,0.0,0.0,0.0,0.0
Charlie Kolar,TE,1,1.72,1.72,2,0,2.0,1.0,,,100.0,BAL,12,3,1,0.2,1.0,0.0,0.0,1.0
Tyler Conklin,TE,1,-3.28,-3.28,0,0,0.0,0.0,,,,NYJ,15,14,0,0.0,0.0,0.0,0.0,0.0
Trey McBride,TE,1,0.6,0.6,2,1,2.0,3.0,,,100.0,ARI,15,15,1,0.1,3.0,0.0,0.0,1.0
Cade Otton,TE,1,-1.32,-1.32,-4,0,-4.0,2.0,100.0,,,TAM,14,14,0,-0.3,2.0,1.0,0.0,0.0
Tanner Hudson,TE,1,1.76,1.76,1,0,1.0,0.0,,,100.0,CIN,10,0,1,0.1,0.0,0.0,0.0,1.0
Drew Sample,TE,1,-1.48,-1.48,-4,0,-4.0,0.0,100.0,,,CIN,16,14,0,-0.3,0.0,1.0,0.0,0.0
Travis Kelce,TE,1,-0.09,-0.09,1,0,1.0,2.0,,,,KAN,16,16,0,0.1,2.0,0.0,0.0,0.0
Jermaine Jackson,WR,1,-0.88,-0.88,-1,0,-1.0,5.0,100.0,,,NOR,4,0,0,-0.3,5.0,1.0,0.0,0.0
Ainias Smith,WR,1,-0.39,-0.39,2,0,2.0,1.0,,,,PHI,6,1,0,0.3,1.0,0.0,0.0,0.0
Chris Godwin,WR,1,1.54,1.54,2,0,2.0,1.0,,,100.0,TAM,7,7,1,0.3,1.0,0.0,0.0,1.0
Olamide Zaccheaus,WR,1,0.0,0.0,8,0,8.0,0.0,,,,WAS,16,5,1,0.5,0.0,0.0,0.0,0.0
Garrett Wilson,WR,1,0.39,0.39,5,0,5.0,17.0,,,100.0,NYJ,16,16,1,0.3,17.0,0.0,0.0,1.0
Elijah Moore,WR,1,-0.44,-0.44,1,0,1.0,0.0,,,,CLE,16,12,0,0.1,0.0,0.0,0.0,0.0
Tyler Boyd,WR,1,0.87,0.87,3,0,3.0,4.0,,,100.0,TEN,16,8,1,0.2,4.0,0.0,0.0,1.0
Justin Jefferson,WR,1,-0.22,-0.22,3,0,3.0,0.0,,,,MIN,16,16,0,0.2,0.0,0.0,0.0,0.0
DeVonta Smith,WR,1,-0.47,-0.47,1,0,1.0,1.0,,,,PHI,13,13,0,0.1,1.0,0.0,0.0,0.0
Cedric Tillman,WR,1,-2.41,-2.41,-5,0,-5.0,0.0,100.0,,,CLE,11,6,0,-0.5,0.0,1.0,0.0,0.0
Marquez Valdes-Scantling,WR,1,-0.27,-0.27,4,0,4.0,0.0,,,,2TM,13,7,0,0.3,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling,WR,1,-0.27,-0.27,4,0,4.0,0.0,,,,BUF,6,0,0,0.0,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling,WR,1,-0.27,-0.27,4,0,4.0,0.0,,,,NOR,7,7,0,0.6,0.0,0.0,0.0,0.0
Josh Downs,WR,1,0.29,0.29,12,0,12.0,0.0,100.0,,100.0,IND,13,7,0,0.9,0.0,1.0,0.0,1.0
Michael Wilson,WR,1,0.0,0.0,7,0,7.0,0.0,,,,ARI,16,13,0,0.4,0.0,0.0,0.0,0.0
David Moore,WR,1,-1.35,-1.35,0,0,0.0,0.0,,,,CAR,16,5,0,0.0,0.0,0.0,0.0,0.0
Chris Olave,WR,1,0.88,0.88,7,0,7.0,1.0,,,100.0,NOR,8,8,1,0.9,1.0,0.0,0.0,1.0
Rashee Rice,WR,1,2.35,2.35,1,0,1.0,0.0,,,100.0,KAN,4,4,1,0.3,0.0,0.0,0.0,1.0
Steven Sims,WR,1,-0.5,-0.5,0,0,0.0,2.0,,,,HOU,7,0,0,0.0,2.0,0.0,0.0,0.0
Ja'Lynn Polk,WR,1,-0.69,-0.69,0,0,0.0,0.0,,,,NWE,15,7,0,0.0,0.0,0.0,0.0,0.0
Kevin Austin,WR,1,0.84,0.84,9,0,9.0,2.0,,,,NOR,7,2,0,1.3,2.0,0.0,0.0,0.0
Drake London,WR,1,-2.37,-2.37,-3,0,-3.0,0.0,100.0,,,ATL,16,16,0,-0.2,0.0,1.0,0.0,0.0
Kendrick Bourne,WR,1,0.7,0.7,6,0,6.0,3.0,,,100.0,NWE,11,8,1,0.5,3.0,0.0,0.0,1.0
Jha'Quan Jackson,WR,1,-1.69,-1.69,-5,0,-5.0,0.0,100.0,,,TEN,12,0,0,-0.4,0.0,1.0,0.0,0.0
Jahan Dotson,WR,1,0.75,0.75,13,0,13.0,0.0,,100.0,100.0,PHI,16,5,1,0.8,0.0,0.0,1.0,1.0
