Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G,Rush Yards AC,TFL Rush,Explosive Rush,First Down Rush
Cam Akers,RB,98,-0.19,-18.62,379,2,3.87,2.32,16.3,14.3,19.4,HOU,5,2,5,29.4,227.36,15.97,14.01,19.01
Cam Akers,RB,98,-0.19,-18.62,379,2,3.87,2.32,16.3,14.3,19.4,MIN,11,0,15,21.1,227.36,15.97,14.01,19.01
Jaleel McLaughlin,RB,97,0.01,0.97,457,1,4.71,1.95,10.3,9.3,18.6,DEN,15,4,22,30.5,189.15,9.99,9.02,18.04
Emanuel Wilson,RB,89,0.05,4.45,429,3,4.82,2.6,5.6,10.1,23.6,GNB,16,0,22,26.8,231.4,4.98,8.99,21.0
Braelon Allen,RB,88,-0.07,-6.16,319,2,3.63,2.45,6.8,4.5,20.5,NYJ,16,2,20,19.9,215.6,5.98,3.96,18.04
Raheem Mostert,RB,85,-0.31,-26.35,278,2,3.27,2.29,12.9,10.6,15.3,MIA,12,1,13,23.2,194.65,10.96,9.01,13.0
Tyjae Spears,RB,84,-0.05,-4.2,312,4,3.71,1.98,9.5,3.6,15.5,TEN,12,1,19,26.0,166.32,7.98,3.02,13.02
Isiah Pacheco,RB,83,-0.16,-13.28,310,1,3.73,2.2,6.0,2.4,16.9,KAN,7,6,14,44.3,182.6,4.98,1.99,14.03
Isaac Guerendo,RB,82,0.08,6.56,415,4,5.06,2.3,7.3,8.5,18.3,SFO,15,2,18,27.7,188.6,5.99,6.97,15.01
Zack Moss,RB,74,-0.27,-19.98,242,2,3.27,2.24,8.1,5.4,17.6,CIN,8,6,13,30.3,165.76,5.99,4.0,13.02
Ezekiel Elliott,RB,74,-0.2,-14.8,226,3,3.05,2.08,6.8,1.4,18.9,DAL,15,2,14,15.1,153.92,5.03,1.04,13.99
Austin Ekeler,RB,74,0.06,4.44,355,4,4.8,1.85,8.1,6.8,24.3,WAS,11,6,18,32.3,136.9,5.99,5.03,17.98
Ameer Abdullah,RB,66,-0.19,-12.54,311,2,4.71,1.11,4.5,3.0,13.6,LVR,16,3,14,19.4,73.26,2.97,1.98,8.98
Zamir White,RB,65,-0.56,-36.4,183,1,2.82,2.11,6.2,3.1,6.2,LVR,8,5,4,22.9,137.15,4.03,2.02,4.03
Audric Estime,RB,64,-0.08,-5.12,276,1,4.31,2.91,6.3,6.3,15.6,DEN,12,1,12,23.0,186.24,4.03,4.03,9.98
Kenneth Gainwell,RB,64,-0.06,-3.84,276,1,4.31,2.45,3.1,15.6,18.8,PHI,16,0,12,17.3,156.8,1.98,9.98,12.03
Trey Benson,RB,63,-0.08,-5.04,291,1,4.62,3.05,6.3,9.5,25.4,ARI,13,1,16,22.4,192.15,3.97,5.98,16.0
Jaylen Wright,RB,62,-0.27,-16.74,253,0,4.08,2.85,19.4,11.3,16.1,MIA,14,1,10,18.1,176.7,12.03,7.01,9.98
D'Onta Foreman,RB,61,-0.29,-17.69,205,0,3.36,1.38,3.3,3.3,11.5,CLE,10,2,10,20.5,84.18,2.01,2.01,7.02
Ty Chandler,RB,56,-0.16,-8.96,182,0,3.25,1.55,7.1,5.4,14.3,MIN,16,0,9,11.4,86.8,3.98,3.02,8.01
Blake Corum,RB,56,-0.12,-6.72,197,0,3.52,2.3,5.4,3.6,21.4,LAR,16,0,12,12.3,128.8,3.02,2.02,11.98
Trey Sermon,RB,56,-0.2,-11.2,159,2,2.84,2.04,12.5,7.1,25.0,IND,16,3,14,9.9,114.24,7.0,3.98,14.0
Jeremy McNichols,RB,55,0.15,8.25,261,4,4.75,2.87,10.9,9.1,27.3,WAS,16,1,15,16.3,157.85,6.0,5.0,15.02
Roschon Johnson,RB,53,-0.02,-1.06,147,6,2.77,1.92,3.8,,30.2,CHI,13,0,17,11.3,101.76,2.01,0.0,16.01
Christian McCaffrey,RB,50,-0.06,-3.0,202,0,4.04,2.12,10.0,12.0,24.0,SFO,4,4,12,50.5,106.0,5.0,6.0,12.0
Sean Tucker,RB,48,0.17,8.16,292,2,6.08,2.19,2.1,14.6,29.2,TAM,16,0,16,18.3,105.12,1.01,7.01,14.02
Carson Steele,RB,48,-0.21,-10.08,158,0,3.29,2.1,8.3,,29.2,KAN,16,2,14,9.9,100.8,3.98,0.0,14.02
Justice Hill,RB,47,0.01,0.47,228,1,4.85,2.72,10.6,14.9,31.9,BAL,15,0,14,15.2,127.84,4.98,7.0,14.99
Kimani Vidal,RB,43,-0.2,-8.6,155,0,3.6,2.12,7.0,4.7,14.0,LAC,9,0,7,17.2,91.16,3.01,2.02,6.02
Deebo Samuel,RB,42,-0.23,-9.66,136,1,3.24,2.14,11.9,4.8,9.5,SFO,15,15,5,9.1,89.88,5.0,2.02,3.99
Jamaal Williams,RB,40,-0.22,-8.8,149,1,3.73,2.25,12.5,7.5,22.5,NOR,13,0,9,11.5,90.0,5.0,3.0,9.0
Sincere McCormick,RB,39,0.01,0.39,183,0,4.69,3.0,12.8,15.4,25.6,LVR,5,2,10,36.6,117.0,4.99,6.01,9.98
Kendre Miller,RB,39,-0.06,-2.34,148,1,3.79,2.97,17.9,10.3,28.2,NOR,6,2,11,24.7,115.83,6.98,4.02,11.0
Ty Johnson,RB,39,0.04,1.56,200,1,5.13,2.36,12.8,15.4,28.2,BUF,16,1,12,12.5,92.04,4.99,6.01,11.0
Taysom Hill,TE,39,0.61,23.79,278,6,7.13,3.49,2.6,10.3,46.2,NOR,8,8,18,34.8,136.11,1.01,4.02,18.02
Miles Sanders,RB,38,-0.19,-7.22,139,1,3.66,2.58,13.2,5.3,23.7,CAR,10,1,9,13.9,98.04,5.02,2.01,9.01
Chris Rodriguez,RB,35,0.18,6.3,173,2,4.94,2.83,2.9,8.6,22.9,WAS,8,0,10,21.6,99.05,1.01,3.01,8.01
Tyler Goodson,RB,32,0.08,2.56,153,1,4.78,1.78,9.4,9.4,18.8,IND,15,0,6,10.2,56.96,3.01,3.01,6.02
Cordarrelle Patterson,RB,31,-0.24,-7.44,134,0,4.32,3.55,9.7,16.1,22.6,PIT,12,1,7,11.2,110.05,3.01,4.99,7.01
D'Ernest Johnson,RB,30,0.01,0.3,117,0,3.9,2.77,10.0,6.7,20.0,JAX,13,1,6,9.0,83.1,3.0,2.01,6.0
Dare Ogunbowale,RB,28,-0.19,-5.32,115,0,4.11,2.21,17.9,7.1,17.9,HOU,16,1,5,7.2,61.88,5.01,1.99,5.01
Isaiah Davis,RB,26,-0.02,-0.52,133,1,5.12,2.23,7.7,11.5,23.1,NYJ,16,0,9,8.3,57.98,2.0,2.99,6.01
Pierre Strong,RB,26,-0.1,-2.6,108,0,4.15,1.23,3.8,3.8,15.4,CLE,14,0,6,7.7,31.98,0.99,0.99,4.0
Kenny McIntosh,RB,24,-0.09,-2.16,123,0,5.13,2.04,,4.2,20.8,SEA,16,0,6,7.7,48.96,0.0,1.01,4.99
Emari Demercado,RB,24,0.52,12.48,223,1,9.29,7.0,4.2,25.0,33.3,ARI,13,0,8,17.2,168.0,1.01,6.0,7.99
Craig Reynolds,RB,23,-0.09,-2.07,100,0,4.35,1.83,8.7,8.7,17.4,DET,16,0,5,6.3,42.09,2.0,2.0,4.0
Hassan Haskins,RB,22,-0.26,-5.72,56,1,2.55,1.0,,,27.3,LAC,16,0,8,3.5,22.0,0.0,0.0,6.01
Patrick Taylor,RB,22,-0.02,-0.44,74,1,3.36,1.77,,,13.6,SFO,12,1,3,6.2,38.94,0.0,0.0,2.99
Dameon Pierce,RB,21,0.02,0.42,117,1,5.57,5.14,,9.5,9.5,HOU,10,0,2,11.7,107.94,0.0,2.0,2.0
Jamycal Hasty,RB,20,-0.05,-1.0,69,0,3.45,2.45,10.0,5.0,20.0,NWE,15,0,4,4.6,49.0,2.0,1.0,4.0
Julius Chestnut,RB,20,-0.24,-4.8,91,0,4.55,2.45,10.0,5.0,5.0,TEN,16,0,1,5.7,49.0,2.0,1.0,1.0
Will Shipley,RB,20,-0.25,-5.0,50,0,2.5,2.7,5.0,,5.0,PHI,15,1,1,3.3,54.0,1.0,0.0,1.0
Xavier Worthy,WR,20,0.15,3.0,104,3,5.2,2.55,5.0,10.0,20.0,KAN,16,13,4,6.5,51.0,1.0,2.0,4.0
Samaje Perine,RB,19,-0.01,-0.19,91,1,4.79,1.95,,10.5,36.8,KAN,16,0,7,5.7,37.05,0.0,2.0,6.99
Michael Carter,RB,18,0.05,0.9,88,0,4.89,0.83,,,5.6,ARI,2,0,6,44.0,14.94,0.0,0.0,1.01
Jordan Mims,RB,18,-0.27,-4.86,58,0,3.22,2.06,11.1,,5.6,NOR,10,0,1,5.8,37.08,2.0,0.0,1.01
Jayden Reed,WR,17,0.38,6.46,160,1,9.41,3.47,5.9,41.2,41.2,GNB,16,10,7,10.0,58.99,1.0,7.0,7.0
Khalil Herbert,RB,16,0.23,3.68,61,1,3.81,1.5,,6.3,25.0,2TM,13,0,5,4.7,24.0,0.0,1.01,4.0
Khalil Herbert,RB,16,0.23,3.68,61,1,3.81,1.5,,6.3,25.0,CHI,6,0,3,2.7,24.0,0.0,1.01,4.0
Khalil Herbert,RB,16,0.23,3.68,61,1,3.81,1.5,,6.3,25.0,CIN,7,0,2,6.4,24.0,0.0,1.01,4.0
CeeDee Lamb,WR,14,-0.27,-3.78,70,0,5.0,2.29,21.4,21.4,28.6,DAL,15,15,4,4.7,32.06,3.0,3.0,4.0
Eric Gray,RB,13,-1.25,-16.25,25,0,1.92,1.54,7.7,,7.7,NYG,16,0,1,1.6,20.02,1.0,0.0,1.0
Marvin Mims,RB,13,-0.13,-1.69,42,0,3.23,2.46,23.1,15.4,23.1,DEN,16,2,3,2.6,31.98,3.0,2.0,3.0
Jase McClellan,RB,13,-0.55,-7.15,32,0,2.46,2.31,15.4,,15.4,ATL,2,0,2,16.0,30.03,2.0,0.0,2.0
D.J. Moore,WR,13,0.13,1.69,70,0,5.38,1.77,15.4,15.4,23.1,CHI,16,16,3,4.4,23.01,2.0,2.0,3.0
Tyler Badie,RB,11,0.18,1.98,86,0,7.82,5.36,9.1,18.2,36.4,DEN,3,0,4,28.7,58.96,1.0,2.0,4.0
Raheem Blackshear,RB,11,0.0,0.0,33,0,3.0,0.64,,,,CAR,15,1,0,2.2,7.04,0.0,0.0,0.0
Deuce Vaughn,RB,11,-0.51,-5.61,33,0,3.0,1.82,,,,DAL,6,0,0,5.5,20.02,0.0,0.0,0.0
Keaton Mitchell,RB,11,-0.38,-4.18,20,0,1.82,1.36,27.3,,18.2,BAL,4,0,2,5.0,14.96,3.0,0.0,2.0
Jameson Williams,WR,11,0.16,1.76,61,1,5.55,2.45,9.1,36.4,36.4,DET,14,10,5,4.4,26.95,1.0,4.0,4.0
Derius Davis,WR,11,-0.22,-2.42,40,0,3.64,1.73,9.1,,18.2,LAC,14,2,2,2.9,19.03,1.0,0.0,2.0
Puka Nacua,WR,11,0.2,2.2,46,1,4.18,2.45,18.2,,18.2,LAR,11,11,2,4.2,26.95,2.0,0.0,2.0
Rasheen Ali,RB,10,-0.12,-1.2,31,0,3.1,2.9,10.0,,20.0,BAL,5,0,2,6.2,29.0,1.0,0.0,2.0
J.J. Taylor,RB,10,0.0,0.0,44,0,4.4,3.1,,,10.0,HOU,5,0,1,8.8,31.0,0.0,0.0,1.0
Ronnie Rivers,RB,10,0.48,4.8,51,0,5.1,2.8,20.0,20.0,50.0,LAR,16,0,5,3.2,28.0,2.0,2.0,5.0
Ray-Ray McCloud,WR,10,0.09,0.9,79,0,7.9,2.9,10.0,20.0,20.0,ATL,16,12,3,4.9,29.0,1.0,2.0,2.0
Alec Ingold,FB,10,-1.02,-10.2,17,1,1.7,1.8,20.0,,60.0,MIA,14,9,6,1.2,18.0,2.0,0.0,6.0
Mike Boone,RB,9,-0.27,-2.43,33,0,3.67,1.11,,,11.1,CAR,5,0,2,6.6,9.99,0.0,0.0,1.0
Jonathon Brooks,RB,9,-0.31,-2.79,22,0,2.44,2.22,11.1,,,CAR,3,1,0,7.3,19.98,1.0,0.0,0.0
Tre Tucker,WR,9,0.31,2.79,44,1,4.89,1.11,11.1,22.2,33.3,LVR,16,14,3,2.8,9.99,1.0,2.0,3.0
Tank Dell,WR,9,-0.25,-2.25,43,0,4.78,3.44,33.3,33.3,33.3,HOU,14,10,3,3.1,30.96,3.0,3.0,3.0
Hunter Luepke,FB,9,-0.18,-1.62,23,0,2.56,2.33,,,44.4,DAL,15,3,4,1.5,20.97,0.0,0.0,4.0
Dalvin Cook,RB,8,-0.33,-2.64,20,0,2.5,1.63,,,,DAL,2,0,0,10.0,13.04,0.0,0.0,0.0
DeeJay Dallas,RB,8,-0.35,-2.8,27,0,3.38,2.0,,,37.5,ARI,16,0,3,1.7,16.0,0.0,0.0,3.0
Zay Flowers,WR,8,0.15,1.2,47,0,5.88,3.13,12.5,12.5,12.5,BAL,16,14,1,2.9,25.04,1.0,1.0,1.0
Tyreek Hill,WR,8,-0.15,-1.2,53,0,6.63,1.13,,25.0,25.0,MIA,16,16,2,3.3,9.04,0.0,2.0,2.0
Sterling Shepard,WR,8,0.34,2.72,69,0,8.63,3.0,12.5,37.5,50.0,TAM,13,4,4,5.3,24.0,1.0,3.0,4.0
Bo Melton,WR,7,0.21,1.47,53,0,7.57,3.43,28.6,57.1,57.1,GNB,16,0,4,3.3,24.01,2.0,4.0,4.0
MarShawn Lloyd,RB,6,-0.3,-1.8,15,0,2.5,1.5,,,,GNB,1,0,0,15.0,9.0,0.0,0.0,0.0
Jermar Jefferson,RB,6,-0.06,-0.36,22,0,3.67,1.17,,,16.7,DET,2,0,1,11.0,7.02,0.0,0.0,1.0
Sione Vaki,RB,6,-0.53,-3.18,14,0,2.33,1.83,33.3,,,DET,15,0,0,0.9,10.98,2.0,0.0,0.0
Travis Homer,RB,6,0.02,0.12,23,0,3.83,2.17,,,33.3,CHI,10,0,2,2.3,13.02,0.0,0.0,2.0
Aaron Shampklin,RB,6,-0.4,-2.4,17,0,2.83,2.0,16.7,,16.7,PIT,3,0,1,5.7,12.0,1.0,0.0,1.0
Rashid Shaheed,WR,6,0.2,1.2,29,0,4.83,1.17,,16.7,33.3,NOR,6,5,2,4.8,7.02,0.0,1.0,2.0
Xavier Legette,WR,6,-0.1,-0.6,24,0,4.0,2.33,,,33.3,CAR,15,12,2,1.6,13.98,0.0,0.0,2.0
Calvin Ridley,WR,6,-0.16,-0.96,58,1,9.67,1.17,,16.7,50.0,TEN,16,13,3,3.6,7.02,0.0,1.0,3.0
Brian Thomas,WR,6,0.14,0.84,48,0,8.0,1.67,,33.3,33.3,JAX,16,15,3,3.0,10.02,0.0,2.0,2.0
Michael Burton,FB,6,-0.21,-1.26,5,1,0.83,0.83,16.7,,50.0,DEN,16,2,3,0.3,4.98,1.0,0.0,3.0
