Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G
Isaac Guerendo,RB,82,0.08,6.51,415,4,5.06,2.3,7.30%,8.50%,18.30%,SFO,15,2,18,27.7
Zack Moss,RB,74,-0.27,-19.99,242,2,3.27,2.24,8.10%,5.40%,17.60%,CIN,8,6,13,30.3
Ezekiel Elliott,RB,74,-0.2,-14.57,226,3,3.05,2.08,6.80%,1.40%,18.90%,DAL,15,2,14,15.1
Austin Ekeler,RB,74,0.06,4.57,355,4,4.8,1.85,8.10%,6.80%,24.30%,WAS,11,6,18,32.3
Ameer Abdullah,RB,66,-0.19,-12.33,311,2,4.71,1.11,4.50%,3%,13.60%,LVR,16,3,14,19.4
Zamir White,RB,65,-0.56,-36.29,183,1,2.82,2.11,6.20%,3.10%,6.20%,LVR,8,5,4,22.9
Audric Estime,RB,64,-0.08,-5.02,276,1,4.31,2.91,6.30%,6.30%,15.60%,DEN,12,1,12,23.0
Kenneth Gainwell,RB,64,-0.06,-4.03,276,1,4.31,2.45,3.10%,15.60%,18.80%,PHI,16,0,12,17.3
Trey Benson,RB,63,-0.08,-4.97,291,1,4.62,3.05,6.30%,9.50%,25.40%,ARI,13,1,16,22.4
Jaylen Wright,RB,62,-0.27,-16.75,253,0,4.08,2.85,19.40%,11.30%,16.10%,MIA,14,1,10,18.1
D'Onta Foreman,RB,61,-0.29,-17.9,205,0,3.36,1.38,3.30%,3.30%,11.50%,CLE,10,2,10,20.5
Ty Chandler,RB,56,-0.16,-8.76,182,0,3.25,1.55,7.10%,5.40%,14.30%,MIN,16,0,9,11.4
Blake Corum,RB,56,-0.12,-6.48,197,0,3.52,2.3,5.40%,3.60%,21.40%,LAR,16,0,12,12.3
Trey Sermon,RB,56,-0.2,-11.24,159,2,2.84,2.04,12.50%,7.10%,25%,IND,16,3,14,9.9
Jeremy McNichols,RB,55,0.15,8.19,261,4,4.75,2.87,10.90%,9.10%,27.30%,WAS,16,1,15,16.3
Roschon Johnson,RB,53,-0.02,-1.12,147,6,2.77,1.92,3.80%,0%,30.20%,CHI,13,0,17,11.3
Christian McCaffrey,RB,50,-0.06,-2.89,202,0,4.04,2.12,10%,12%,24%,SFO,4,4,12,50.5
Sean Tucker,RB,48,0.17,8.35,292,2,6.08,2.19,2.10%,14.60%,29.20%,TAM,16,0,16,18.3
Carson Steele,RB,48,-0.21,-9.85,158,0,3.29,2.1,8.30%,0%,29.20%,KAN,16,2,14,9.9
Justice Hill,RB,47,0.01,0.67,228,1,4.85,2.72,10.60%,14.90%,31.90%,BAL,15,0,14,15.2
Kimani Vidal,RB,43,-0.2,-8.43,155,0,3.6,2.12,7%,4.70%,14%,LAC,9,0,7,17.2
