Name,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Y/A,Y/G
Trey Sermon,IND,RB,16,3,56,159,2,14,44.6,2.8,9.9
Jeremy McNichols,WAS,RB,16,1,55,261,4,15,58.2,4.7,16.3
Drake Maye,NWE,QB,12,11,54,421,2,22,64.8,7.8,35.1
Roschon Johnson,CHI,RB,13,0,53,147,6,17,56.6,2.8,11.3
C.J. Stroud,HOU,QB,16,16,52,233,0,14,38.5,4.5,14.6
Baker Mayfield,TAM,QB,16,16,51,310,3,21,51.0,6.1,19.4
Geno Smith,SEA,QB,16,16,51,258,2,16,35.3,5.1,16.1
Christian McCaffrey,SFO,RB,4,4,50,202,0,12,44.0,4.0,50.5
Carson Steele,KAN,RB,16,2,48,158,0,14,60.4,3.3,9.9
Sean Tucker,TAM,RB,16,0,48,292,2,16,56.3,6.1,18.3
Justice Hill,BAL,RB,15,0,47,228,1,14,44.7,4.9,15.2
Kimani Vidal,LAC,RB,9,0,43,155,0,7,32.6,3.6,17.2
Deebo Samuel,SFO,WR,15,15,42,136,1,5,45.2,3.2,9.1
Joe Burrow,CIN,QB,16,16,41,202,2,16,48.8,4.9,12.6
Will Levis,TEN,QB,11,11,41,175,0,20,53.7,4.3,15.9
Jamaal Williams,NOR,RB,13,0,40,149,1,9,50.0,3.7,11.5
Taysom Hill,NOR,TE,8,8,39,278,6,18,64.1,7.1,34.8
Ty Johnson,BUF,RB,16,1,39,200,1,12,66.7,5.1,12.5
Sincere McCormick,LVR,RB,5,2,39,183,0,10,53.8,4.7,36.6
Kendre Miller,NOR,RB,6,2,39,148,1,11,48.7,3.8,24.7
Russell Wilson,PIT,QB,10,10,39,139,2,14,46.2,3.6,13.9
Miles Sanders,CAR,RB,10,1,38,139,1,9,42.1,3.7,13.9
Bryce Young,CAR,QB,13,11,38,225,4,12,52.6,5.9,17.3
Jared Goff,DET,QB,16,16,35,56,0,9,34.3,1.6,3.5
Chris Rodriguez,WAS,RB,8,0,35,173,2,10,74.3,4.9,21.6
Tyler Goodson,IND,RB,15,0,32,153,1,6,46.9,4.8,10.2
Cordarrelle Patterson,PIT,RB,12,1,31,134,0,7,45.2,4.3,11.2
Deshaun Watson,CLE,QB,7,7,31,148,1,8,41.9,4.8,21.1
D'Ernest Johnson,JAX,RB,13,1,30,117,0,6,46.7,3.9,9.0
Matthew Stafford,LAR,QB,16,16,30,41,0,10,36.7,1.4,2.6
Chris Brooks,GNB,RB,14,0,28,124,1,9,50.0,4.4,8.9
Dare Ogunbowale,HOU,RB,16,1,28,115,0,5,39.3,4.1,7.2
Isaiah Davis,NYJ,RB,16,0,26,133,1,9,65.4,5.1,8.3
Trevor Lawrence,JAX,QB,10,10,26,119,3,13,57.7,4.6,11.9
Cooper Rush,DAL,QB,12,8,26,18,0,5,26.9,0.7,1.5
Pierre Strong,CLE,RB,14,0,26,108,0,6,46.2,4.2,7.7
Jordan Love,GNB,QB,14,14,25,83,1,9,44.0,3.3,5.9
Jameis Winston,CLE,QB,12,7,25,83,1,17,76.0,3.3,6.9
Emari Demercado,ARI,RB,13,0,24,223,1,8,50.0,9.3,17.2
Kenny McIntosh,SEA,RB,16,0,24,123,0,6,45.8,5.1,7.7
Mason Rudolph,TEN,QB,7,5,24,101,1,12,58.3,4.2,14.4
Kirk Cousins,ATL,QB,14,14,23,0,0,2,13.0,0.0,0.0
Tyler Huntley,MIA,QB,4,4,23,119,2,9,43.5,5.2,29.8
Mac Jones,JAX,QB,9,6,23,75,1,10,47.8,3.3,8.3
Craig Reynolds,DET,RB,16,0,23,100,0,5,60.9,4.3,6.3
Hassan Haskins,LAC,RB,16,0,22,56,1,8,50.0,2.5,3.5
Aaron Rodgers,NYJ,QB,16,16,22,107,0,7,40.9,4.9,6.7
Patrick Taylor,SFO,RB,12,1,22,74,1,3,50.0,3.4,6.2
Dameon Pierce,HOU,RB,10,0,21,117,1,2,38.1,5.6,11.7
Julius Chestnut,TEN,RB,16,0,20,91,0,1,40.0,4.6,5.7
Jamycal Hasty,NWE,RB,15,0,20,69,0,4,45.0,3.5,4.6
Will Shipley,PHI,RB,15,1,20,50,0,1,25.0,2.5,3.3
Xavier Worthy,KAN,WR,16,13,20,104,3,4,75.0,5.2,6.5
Gardner Minshew II,LVR,QB,10,9,19,58,0,5,36.8,3.1,5.8
Samaje Perine,KAN,RB,16,0,19,91,1,7,57.9,4.8,5.7
Dorian Thompson-Robinson,CLE,QB,6,2,19,119,0,9,68.4,6.3,19.8
Malik Willis,GNB,QB,6,2,19,135,1,6,47.4,7.1,22.5
Michael Carter,ARI,RB,2,0,18,88,0,6,72.2,4.9,44.0
Jordan Mims,NOR,RB,10,0,18,58,0,1,33.3,3.2,5.8
Derek Carr,NOR,QB,10,10,17,71,1,4,52.9,4.2,7.1
Aidan O'Connell,LVR,QB,8,6,17,17,1,8,47.1,1.0,2.1
Spencer Rattler,NOR,QB,6,5,17,135,0,7,70.6,7.9,22.5
Jayden Reed,GNB,WR,16,10,17,160,1,7,70.6,9.4,10.0
Tua Tagovailoa,MIA,QB,11,11,17,49,0,5,41.2,2.9,4.5
Drew Lock,NYG,QB,7,4,16,130,2,8,50.0,8.1,18.6
Khalil Herbert,2TM,RB,13,0,16,61,1,5,62.5,3.8,4.7
Khalil Herbert,CHI,RB,6,0,8,16,1,3,62.5,2.0,2.7
Khalil Herbert,CIN,RB,7,0,8,45,0,2,62.5,5.6,6.4
Jacoby Brissett,NWE,QB,8,5,15,62,0,5,53.3,4.1,7.8
KaVontae Turpin,DAL,WR,16,2,15,87,0,6,60.0,5.8,5.4
CeeDee Lamb,DAL,WR,15,15,14,70,0,4,42.9,5.0,4.7
Jeff Wilson,MIA,RB,8,0,14,61,0,3,50.0,4.4,7.6
Eric Gray,NYG,RB,16,0,13,25,0,1,23.1,1.9,1.6
Marcus Mariota,WAS,QB,2,0,13,36,0,3,38.5,2.8,18.0
Jase McClellan,ATL,RB,2,0,13,32,0,2,46.2,2.5,16.0
Marvin Mims,DEN,WR,16,2,13,42,0,3,38.5,3.2,2.6
D.J. Moore,CHI,WR,16,16,13,70,0,3,69.2,5.4,4.4
Dak Prescott,DAL,QB,8,8,13,54,1,5,61.5,4.2,6.8
Mitchell Trubisky,BUF,QB,8,0,13,-11,0,0,0.0,-0.8,-1.4
Tyler Badie,DEN,RB,3,0,11,86,0,4,54.5,7.8,28.7
Raheem Blackshear,CAR,RB,15,1,11,33,0,0,36.4,3.0,2.2
Andy Dalton,CAR,QB,6,5,11,34,0,2,36.4,3.1,5.7
Derius Davis,LAC,WR,14,2,11,40,0,2,54.5,3.6,2.9
Jake Haener,NOR,QB,8,1,11,22,0,0,18.2,2.0,2.8
Keaton Mitchell,BAL,RB,4,0,11,20,0,2,27.3,1.8,5.0
Puka Nacua,LAR,WR,11,11,11,46,1,2,63.6,4.2,4.2
Deuce Vaughn,DAL,RB,6,0,11,33,0,0,27.3,3.0,5.5
Jameson Williams,DET,WR,14,10,11,61,1,5,63.6,5.5,4.4
Rasheen Ali,BAL,RB,5,0,10,31,0,2,40.0,3.1,6.2
Alec Ingold,MIA,FB,14,9,10,17,1,6,60.0,1.7,1.2
Ray-Ray McCloud,ATL,WR,16,12,10,79,0,3,60.0,7.9,4.9
Ronnie Rivers,LAR,RB,16,0,10,51,0,5,70.0,5.1,3.2
J.J. Taylor,HOU,RB,5,0,10,44,0,1,50.0,4.4,8.8
Mike Boone,CAR,RB,5,0,9,33,0,2,55.6,3.7,6.6
Jonathon Brooks,CAR,RB,3,1,9,22,0,0,33.3,2.4,7.3
Tank Dell,HOU,WR,14,10,9,43,0,3,33.3,4.8,3.1
Joe Flacco,IND,QB,7,5,9,26,0,2,22.2,2.9,3.7
Hunter Luepke,DAL,RB,15,3,9,23,0,4,44.4,2.6,1.5
Kenny Pickett,PHI,QB,5,1,9,15,1,3,33.3,1.7,3.0
Desmond Ridder,LVR,QB,5,1,9,36,0,2,44.4,4.0,7.2
Tre Tucker,LVR,WR,16,14,9,44,1,3,66.7,4.9,2.8
Dalvin Cook,DAL,RB,2,0,8,20,0,0,37.5,2.5,10.0
DeeJay Dallas,ARI,RB,16,0,8,27,0,3,62.5,3.4,1.7
Tommy DeVito,NYG,QB,3,2,8,32,0,1,25.0,4.0,10.7
Zay Flowers,BAL,WR,16,14,8,47,0,1,50.0,5.9,2.9
Tyreek Hill,MIA,WR,16,16,8,53,0,2,62.5,6.6,3.3
Sterling Shepard,TAM,WR,13,4,8,69,0,4,62.5,8.6,5.3
Bo Melton,GNB,WR,16,0,7,53,0,4,71.4,7.6,3.3
Tyson Bagent,CHI,QB,4,0,6,-7,0,0,0.0,-1.2,-1.8
Michael Burton,DEN,FB,16,2,6,5,1,3,50.0,0.8,0.3
Travis Homer,CHI,RB,10,0,6,23,0,2,66.7,3.8,2.3
Jermar Jefferson,DET,RB,2,0,6,22,0,1,83.3,3.7,11.0
Xavier Legette,CAR,WR,15,12,6,24,0,2,50.0,4.0,1.6
MarShawn Lloyd,GNB,RB,1,0,6,15,0,0,16.7,2.5,15.0
Michael Penix,ATL,QB,4,2,6,6,0,0,0.0,1.0,1.5
Calvin Ridley,TEN,WR,16,13,6,58,1,3,83.3,9.7,3.6
Rashid Shaheed,NOR,WR,6,5,6,29,0,2,50.0,4.8,4.8
Aaron Shampklin,PIT,RB,3,0,6,17,0,1,16.7,2.8,5.7
Brian Thomas,JAX,WR,16,15,6,48,0,3,66.7,8.0,3.0
Clayton Tune,ARI,QB,5,0,6,-6,0,1,16.7,-1.0,-1.2
Sione Vaki,DET,RB,15,0,6,14,0,0,33.3,2.3,0.9
Brock Bowers,LVR,TE,16,15,5,13,0,2,60.0,2.6,0.8
Ashton Dulin,IND,WR,14,2,5,45,0,2,100.0,9.0,3.2
Clyde Edwards-Helaire,NOR,RB,1,0,5,20,0,1,60.0,4.0,20.0
Mecole Hardman,KAN,WR,12,0,5,62,1,2,100.0,12.4,5.2
Hendon Hooker,DET,QB,3,0,5,2,0,1,20.0,0.4,0.7
Terrell Jennings,NWE,RB,2,0,5,13,0,0,20.0,2.6,6.5
Kyle Juszczyk,SFO,FB,16,14,5,26,1,1,20.0,5.2,1.6
Trey Lance,DAL,QB,3,0,5,15,0,2,60.0,3.0,5.0
Malik Nabers,NYG,WR,14,12,5,2,0,1,40.0,0.4,0.1
Curtis Samuel,BUF,WR,13,1,5,14,0,0,40.0,2.8,1.1
