Name,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Y/A,Y/G
Rashod Bateman,BAL,WR,16,13,0,0,0,0,,,0.0
John Bates,WAS,TE,16,6,0,0,0,0,,,0.0
Andrew Beck,2TM,FB,4,0,0,0,0,0,,,0.0
Andrew Beck,GNB,FB,3,0,0,0,0,0,,,0.0
Andrew Beck,HOU,FB,1,0,0,0,0,0,,,0.0
Odell Beckham Jr.,MIA,WR,9,0,0,0,0,0,,,0.0
David Bell,CLE,WR,1,0,0,0,0,0,,,0.0
Jaheim Bell,NWE,TE,14,0,0,0,0,0,,,0.0
Ronnie Bell,SFO,WR,9,0,0,0,0,0,,,0.0
Daniel Bellinger,NYG,TE,16,7,0,0,0,0,,,0.0
Braxton Berrios,MIA,WR,6,0,0,0,0,0,,,0.0
Chris Blair,ATL,WR,3,0,0,0,0,0,,,0.0
Jake Bobo,SEA,WR,16,3,0,0,0,0,,,0.0
Kayshon Boutte,NWE,WR,14,12,0,0,0,0,,,0.0
Jake Brendel,SFO,OL,16,16,0,0,0,0,,,0.0
Jalen Brooks,DAL,WR,13,1,0,0,0,0,,,0.0
A.J. Brown,PHI,WR,13,13,0,0,0,0,,,0.0
Marquise Brown,KAN,WR,2,1,0,0,0,0,,,0.0
Noah Brown,WAS,WR,11,9,0,0,0,0,,,0.0
Pharaoh Brown,SEA,TE,14,7,0,0,0,0,,,0.0
Harrison Bryant,LVR,TE,12,2,0,0,0,0,,,0.0
Jermaine Burton,CIN,WR,14,1,0,0,0,0,,,0.0
Grant Calcaterra,PHI,TE,16,12,0,0,0,0,,,0.0
Mike Caliendo,KAN,OL,16,3,0,0,0,0,,,0.0
Parris Campbell,PHI,WR,5,0,0,0,0,0,,,0.0
DeAndre Carter,CHI,WR,13,0,0,0,0,0,,,0.0
DJ Chark,LAC,WR,6,0,0,0,0,0,,,0.0
Irvin Charles,NYJ,WR,13,0,0,0,0,0,,,0.0
Dan Chisena,CAR,WR,5,0,0,0,0,0,,,0.0
Robbie Chosen,MIA,WR,2,0,0,0,0,0,,,0.0
Jalen Coker,CAR,WR,10,3,0,0,0,0,,,0.0
Keon Coleman,BUF,WR,12,11,0,0,0,0,,,0.0
Nico Collins,HOU,WR,11,11,0,0,0,0,,,0.0
Chris Conley,SFO,WR,14,2,0,0,0,0,,,0.0
Tanner Conner,MIA,TE,8,1,0,0,0,0,,,0.0
Amari Cooper,2TM,WR,14,10,0,0,0,0,,,0.0
Amari Cooper,CLE,WR,6,6,0,0,0,0,,,0.0
Amari Cooper,BUF,WR,8,4,0,0,0,0,,,0.0
Britain Covey,PHI,WR,5,1,0,0,0,0,,,0.0
Jacob Cowing,SFO,WR,14,0,0,0,0,0,,,0.0
River Cracraft,MIA,WR,7,0,0,0,0,0,,,0.0
Jamison Crowder,WAS,WR,5,1,0,0,0,0,,,0.0
Devin Culp,TAM,TE,4,0,0,0,0,0,,,0.0
Baylor Cupp,KAN,TE,1,0,0,0,0,0,,,0.0
Jaelon Darden,CLE,WR,7,1,0,0,0,0,,,0.0
Zach Davidson,BUF,TE,2,0,0,0,0,0,,,0.0
Gabriel Davis,JAX,WR,10,9,0,0,0,0,,,0.0
Divine Deablo,LVR,LB,13,13,0,0,0,0,,,0.0
Taylor Decker,DET,T,13,13,0,0,0,0,,,0.0
Josiah Deguara,JAX,TE,14,0,0,0,0,0,,,0.0
Will Dissly,LAC,TE,14,7,0,0,0,0,,,0.0
Romeo Doubs,GNB,WR,13,12,0,0,0,0,,,0.0
Grant Dubose,MIA,WR,3,0,0,0,0,0,,,0.0
Greg Dulcich,DEN,TE,4,3,0,0,0,0,,,0.0
Payne Durham,TAM,TE,15,5,0,0,0,0,,,0.0
Ross Dwelley,ATL,TE,16,0,0,0,0,0,,,0.0
Evan Engram,JAX,TE,9,9,0,0,0,0,,,0.0
Zach Ertz,WAS,TE,16,16,0,0,0,0,,,0.0
D'Wayne Eskridge,MIA,WR,6,0,0,0,0,0,,,0.0
Mike Evans,TAM,WR,13,13,0,0,0,0,,,0.0
Gerald Everett,CHI,TE,16,4,0,0,0,0,,,0.0
Erik Ezukanma,MIA,WR,2,0,0,0,0,0,,,0.0
Noah Fant,SEA,TE,13,8,0,0,0,0,,,0.0
Luke Farrell,JAX,TE,16,7,0,0,0,0,,,0.0
Simi Fehoko,LAC,WR,8,2,0,0,0,0,,,0.0
Jake Ferguson,DAL,TE,13,13,0,0,0,0,,,0.0
Tucker Fisk,LAC,TE,8,5,0,0,0,0,,,0.0
John FitzPatrick,GNB,TE,8,0,0,0,0,0,,,0.0
Ryan Flournoy,DAL,WR,10,1,0,0,0,0,,,0.0
Jody Fortson,KAN,TE,3,0,0,0,0,0,,,0.0
Sam Franklin,CAR,S,9,0,0,0,0,0,,,0.0
Feleipe Franks,CAR,TE,15,0,0,0,0,0,,,0.0
Zach Frazier,PIT,C,14,14,0,0,0,0,,,0.0
Pat Freiermuth,PIT,TE,16,10,0,0,0,0,,,0.0
Mike Gesicki,CIN,TE,16,3,0,0,0,0,,,0.0
Xavier Gipson,NYJ,WR,16,0,0,0,0,0,,,0.0
Dallas Goedert,PHI,TE,9,9,0,0,0,0,,,0.0
C.J. Goodwin,DAL,CB,16,0,0,0,0,0,,,0.0
Anthony Gould,IND,WR,7,0,0,0,0,0,,,0.0
Cam Grandy,CIN,TE,7,5,0,0,0,0,,,0.0
Kylen Granson,IND,TE,16,6,0,0,0,0,,,0.0
Noah Gray,KAN,TE,16,10,0,0,0,0,,,0.0
Marvin Harrison Jr.,ARI,WR,16,15,0,0,0,0,,,0.0
Malik Heath,GNB,WR,12,1,0,0,0,0,,,0.0
Peyton Hendershot,KAN,TE,6,0,0,0,0,0,,,0.0
Hunter Henry,NWE,TE,16,16,0,0,0,0,,,0.0
Connor Heyward,PIT,TE,16,5,0,0,0,0,,,0.0
Tyler Higbee,LAR,TE,2,2,0,0,0,0,,,0.0
Elijah Higgins,ARI,TE,16,5,0,0,0,0,,,0.0
Tee Higgins,CIN,WR,11,8,0,0,0,0,,,0.0
Julian Hill,MIA,TE,15,11,0,0,0,0,,,0.0
T.J. Hockenson,MIN,TE,9,8,0,0,0,0,,,0.0
KhaDarel Hodge,ATL,WR,16,1,0,0,0,0,,,0.0
Isaiah Hodgins,NYG,WR,3,0,0,0,0,0,,,0.0
Dallin Holker,NOR,TE,11,2,0,0,0,0,,,0.0
Mack Hollins,BUF,WR,16,12,0,0,0,0,,,0.0
Austin Hooper,NWE,TE,16,7,0,0,0,0,,,0.0
DeAndre Hopkins,2TM,WR,16,8,0,0,0,0,,,0.0
DeAndre Hopkins,TEN,WR,6,3,0,0,0,0,,,0.0
DeAndre Hopkins,KAN,WR,10,5,0,0,0,0,,,0.0
Sam Hubbard,CIN,DE,14,14,0,0,0,0,,,0.0
Lil'Jordan Humphrey,DEN,WR,16,6,0,0,0,0,,,0.0
Hayden Hurst,LAC,TE,8,2,0,0,0,0,,,0.0
Xavier Hutchinson,HOU,WR,15,3,0,0,0,0,,,0.0
Jalin Hyatt,NYG,WR,15,3,0,0,0,0,,,0.0
Andrei Iosivas,CIN,WR,16,8,0,0,0,0,,,0.0
Trenton Irwin,CIN,WR,7,2,0,0,0,0,,,0.0
Rakim Jarrett,TAM,WR,9,2,0,0,0,0,,,0.0
Van Jefferson,PIT,WR,16,11,0,0,0,0,,,0.0
E.J. Jenkins,PHI,TE,7,0,0,0,0,0,,,0.0
Jauan Jennings,SFO,WR,14,9,0,0,0,0,,,0.0
Jerry Jeudy,CLE,WR,16,15,0,0,0,0,,,0.0
Brandon Johnson,PIT,WR,3,0,0,0,0,0,,,0.0
Collin Johnson,CHI,WR,8,0,0,0,0,0,,,0.0
Juwan Johnson,NOR,TE,16,4,0,0,0,0,,,0.0
Theo Johnson,NYG,TE,12,11,0,0,0,0,,,0.0
Tyler Johnson,LAR,WR,14,2,0,0,0,0,,,0.0
Charlie Jones,CIN,WR,8,0,0,0,0,0,,,0.0
Tim Jones,JAX,WR,16,0,0,0,0,0,,,0.0
Zay Jones,ARI,WR,10,1,0,0,0,0,,,0.0
Brevin Jordan,HOU,TE,2,1,0,0,0,0,,,0.0
Tom Kennedy,DET,WR,4,0,0,0,0,0,,,0.0
Ramel Keyton,LVR,WR,7,0,0,0,0,0,,,0.0
Dalton Kincaid,BUF,TE,13,9,0,0,0,0,,,0.0
Mason Kinsey,TEN,WR,5,0,0,0,0,0,,,0.0
Christian Kirk,JAX,WR,8,7,0,0,0,0,,,0.0
George Kittle,SFO,TE,14,14,0,0,0,0,,,0.0
Cole Kmet,CHI,TE,16,15,0,0,0,0,,,0.0
Dawson Knox,BUF,TE,16,13,0,0,0,0,,,0.0
Lucas Krull,DEN,TE,12,2,0,0,0,0,,,0.0
Sam LaPorta,DET,TE,15,15,0,0,0,0,,,0.0
JC Latham,TEN,OT,16,16,0,0,0,0,,,0.0
Allen Lazard,NYJ,WR,11,9,0,0,0,0,,,0.0
Marcedes Lewis,CHI,TE,16,4,0,0,0,0,,,0.0
Isaiah Likely,BAL,TE,15,8,0,0,0,0,,,0.0
Tyler Lockett,SEA,WR,16,13,0,0,0,0,,,0.0
Hunter Long,LAR,TE,16,2,0,0,0,0,,,0.0
Vederian Lowe,NWE,T,13,12,0,0,0,0,,,0.0
Will Mallory,IND,TE,10,0,0,0,0,0,,,0.0
Chris Manhertz,NYG,TE,16,10,0,0,0,0,,,0.0
Terrace Marshall Jr.,LVR,WR,6,1,0,0,0,0,,,0.0
David Martin-Robinson,TEN,TE,4,1,0,0,0,0,,,0.0
Scott Matlock,LAC,DL,16,10,0,0,0,0,,,0.0
Jordan Matthews,CAR,TE,4,1,0,0,0,0,,,0.0
Michael Mayer,LVR,TE,10,7,0,0,0,0,,,0.0
Luke McCaffrey,WAS,WR,16,4,0,0,0,0,,,0.0
Ladd McConkey,LAC,WR,15,13,0,0,0,0,,,0.0
Bub Means,NOR,WR,7,1,0,0,0,0,,,0.0
D.K. Metcalf,SEA,WR,14,11,0,0,0,0,,,0.0
John Metchie,HOU,WR,12,2,0,0,0,0,,,0.0
Anthony Miller,BAL,WR,2,0,0,0,0,0,,,0.0
Ryan Miller,TAM,WR,10,3,0,0,0,0,,,0.0
Scott Miller,PIT,WR,13,1,0,0,0,0,,,0.0
Darnell Mooney,ATL,WR,16,16,0,0,0,0,,,0.0
Skyy Moore,KAN,WR,6,0,0,0,0,0,,,0.0
Foster Moreau,NOR,TE,16,16,0,0,0,0,,,0.0
Quintin Morris,BUF,TE,15,2,0,0,0,0,,,0.0
Wanya Morris,KAN,OL,16,10,0,0,0,0,,,0.0
Johnny Mundt,MIN,TE,16,3,0,0,0,0,,,0.0
Luke Musgrave,GNB,TE,6,2,0,0,0,0,,,0.0
David Njoku,CLE,TE,11,11,0,0,0,0,,,0.0
Andrew Ogletree,IND,TE,16,5,0,0,0,0,,,0.0
Bryce Oliver,TEN,WR,9,1,0,0,0,0,,,0.0
Josh Oliver,MIN,TE,14,11,0,0,0,0,,,0.0
K.J. Osborn,NWE,WR,7,4,0,0,0,0,,,0.0
Josh Palmer,LAC,WR,15,7,0,0,0,0,,,0.0
Trey Palmer,TAM,WR,14,3,0,0,0,0,,,0.0
Colby Parkinson,LAR,TE,16,9,0,0,0,0,,,0.0
Tim Patrick,DET,WR,15,8,0,0,0,0,,,0.0
Dante Pettis,NOR,WR,7,0,0,0,0,0,,,0.0
Alec Pierce,IND,WR,15,12,0,0,0,0,,,0.0
James Pierre,PIT,CB,14,2,0,0,0,0,,,0.0
Michael Pittman Jr.,IND,WR,15,13,0,0,0,0,,,0.0
Kyle Pitts,ATL,TE,16,15,0,0,0,0,,,0.0
Brandon Powell,MIN,WR,16,1,0,0,0,0,,,0.0
Adam Prentice,NOR,FB,16,7,0,0,0,0,,,0.0
James Proche,CLE,WR,8,0,0,0,0,0,,,0.0
MyCole Pruitt,PIT,TE,11,5,0,0,0,0,,,0.0
Kendric Pryor,CIN,WR,1,0,0,0,0,0,,,0.0
Dominick Puni,SFO,OL,16,16,0,0,0,0,,,0.0
Tip Reiman,ARI,TE,16,9,0,0,0,0,,,0.0
Josh Reynolds,2TM,WR,8,2,0,0,0,0,,,0.0
Josh Reynolds,DEN,WR,5,1,0,0,0,0,,,0.0
Josh Reynolds,JAX,WR,3,1,0,0,0,0,,,0.0
Patrick Ricard,BAL,FB,16,6,0,0,0,0,,,0.0
Allen Robinson,DET,WR,12,0,0,0,0,0,,,0.0
Demarcus Robinson,LAR,WR,16,16,0,0,0,0,,,0.0
John Ross,PHI,WR,1,0,0,0,0,0,,,0.0
Justyn Ross,KAN,WR,2,0,0,0,0,0,,,0.0
Jeremy Ruckert,NYJ,TE,16,9,0,0,0,0,,,0.0
Ja'Tavion Sanders,CAR,TE,15,8,0,0,0,0,,,0.0
Eric Saubert,SFO,TE,16,3,0,0,0,0,,,0.0
Luke Schoonmaker,DAL,TE,16,6,0,0,0,0,,,0.0
Dalton Schultz,HOU,TE,16,12,0,0,0,0,,,0.0
Trenton Scott,WAS,T,16,1,0,0,0,0,,,0.0
Tyler Scott,CHI,WR,10,0,0,0,0,0,,,0.0
Tyrell Shavers,BUF,WR,3,0,0,0,0,0,,,0.0
John Samuel Shenker,LVR,TE,7,0,0,0,0,0,,,0.0
Trent Sherfield,MIN,WR,16,1,0,0,0,0,,,0.0
Ben Sims,GNB,TE,16,5,0,0,0,0,,,0.0
Ben Sinnott,WAS,TE,16,2,0,0,0,0,,,0.0
Dan Skipper,DET,T,16,5,0,0,0,0,,,0.0
Ben Skowronek,PIT,WR,9,1,0,0,0,0,,,0.0
Stone Smartt,LAC,TE,14,2,0,0,0,0,,,0.0
Tyler Smith,DAL,OL,15,15,0,0,0,0,,,0.0
JuJu Smith-Schuster,KAN,WR,13,7,0,0,0,0,,,0.0
Durham Smythe,MIA,TE,16,4,0,0,0,0,,,0.0
Brevyn Spann-Ford,DAL,TE,16,0,0,0,0,0,,,0.0
Jack Stoll,PHI,TE,7,2,0,0,0,0,,,0.0
Cade Stover,HOU,TE,14,9,0,0,0,0,,,0.0
Brenton Strange,JAX,TE,16,9,0,0,0,0,,,0.0
Stephen Sullivan,CAR,TE,1,0,0,0,0,0,,,0.0
Courtland Sutton,DEN,WR,16,12,0,0,0,0,,,0.0
Geoff Swaim,CLE,TE,8,2,0,0,0,0,,,0.0
Adam Thielen,CAR,WR,9,9,0,0,0,0,,,0.0
Ian Thomas,CAR,TE,5,2,0,0,0,0,,,0.0
Juanyeh Thomas,DAL,S,12,0,0,0,0,0,,,0.0
Tyquan Thornton,NWE,WR,6,1,0,0,0,0,,,0.0
Jamari Thrash,CLE,WR,8,0,0,0,0,0,,,0.0
Mason Tipton,NOR,WR,11,1,0,0,0,0,,,0.0
Jalen Tolbert,DAL,WR,16,14,0,0,0,0,,,0.0
Eric Tomlinson,LAC,TE,9,1,0,0,0,0,,,0.0
Austin Trammell,JAX,WR,1,0,0,0,0,0,,,0.0
Adam Trautman,DEN,TE,16,13,0,0,0,0,,,0.0
Brycen Tremayne,WAS,WR,2,0,0,0,0,0,,,0.0
Tommy Tremble,CAR,TE,11,10,0,0,0,0,,,0.0
Nick Vannett,TEN,TE,16,10,0,0,0,0,,,0.0
Ben VanSumeren,PHI,LB,11,1,0,0,0,0,,,0.0
Devaughn Vele,DEN,WR,12,7,0,0,0,0,,,0.0
Devontez Walker,BAL,WR,8,0,0,0,0,0,,,0.0
Tylan Wallace,BAL,WR,16,0,0,0,0,0,,,0.0
Casey Washington,ATL,WR,8,0,0,0,0,0,,,0.0
Darnell Washington,PIT,TE,16,9,0,0,0,0,,,0.0
Parker Washington,JAX,WR,16,6,0,0,0,0,,,0.0
Justin Watson,KAN,WR,16,6,0,0,0,0,,,0.0
Xavier Weaver,ARI,WR,1,0,0,0,0,0,,,0.0
Nick Westbrook-Ikhine,TEN,WR,16,8,0,0,0,0,,,0.0
Cody White,SEA,WR,4,0,0,0,0,0,,,0.0
Blake Whiteheart,CLE,TE,10,1,0,0,0,0,,,0.0
Jordan Whittington,LAR,WR,14,2,0,0,0,0,,,0.0
Josh Whyle,TEN,TE,16,4,0,0,0,0,,,0.0
Dontayvion Wicks,GNB,WR,16,4,0,0,0,0,,,0.0
Jared Wiley,KAN,TE,7,2,0,0,0,0,,,0.0
Kristian Wilkerson,LVR,WR,3,0,0,0,0,0,,,0.0
Isaiah Williams,DET,WR,2,0,0,0,0,0,,,0.0
Mike Williams,2TM,WR,17,5,0,0,0,0,,,0.0
Mike Williams,NYJ,WR,9,3,0,0,0,0,,,0.0
Mike Williams,PIT,WR,8,2,0,0,0,0,,,0.0
Cedrick Wilson Jr.,NOR,WR,14,3,0,0,0,0,,,0.0
Johnny Wilson,PHI,WR,15,3,0,0,0,0,,,0.0
Tristan Wirfs,TAM,T,15,15,0,0,0,0,,,0.0
Charlie Woerner,ATL,TE,15,4,0,0,0,0,,,0.0
Michael Woods II,CLE,WR,5,2,0,0,0,0,,,0.0
Robert Woods,HOU,WR,14,3,0,0,0,0,,,0.0
Brock Wright,DET,TE,16,8,0,0,0,0,,,0.0
Kenny Yeboah,NYJ,TE,8,1,0,0,0,0,,,0.0
Dareke Young,SEA,WR,13,0,0,0,0,0,,,0.0
Shane Zylstra,DET,TE,11,1,0,0,0,0,,,0.0
